permno,adate,qdate,public_date,bm,TICKER
21020,2006-12-31,2007-09-30,2008-01-31,0.149,AMR
21020,2007-12-31,2007-12-31,2008-02-29,0.759,AMR
21020,2007-12-31,2007-12-31,2008-03-31,0.759,AMR
21020,2007-12-31,2007-12-31,2008-04-30,0.759,AMR
21020,2007-12-31,2008-03-31,2008-05-31,1.106,AMR
21020,2007-12-31,2008-03-31,2008-06-30,1.106,AMR
21020,2007-12-31,2008-03-31,2008-07-31,1.106,AMR
21020,2007-12-31,2008-06-30,2008-08-31,1.291,AMR
21020,2007-12-31,2008-06-30,2008-09-30,1.291,AMR
21020,2007-12-31,2008-06-30,2008-10-31,1.291,AMR
21020,2007-12-31,2008-09-30,2008-11-30,0.341,AMR
21020,2007-12-31,2008-09-30,2008-12-31,0.341,AMR
21020,2007-12-31,2008-09-30,2009-01-31,0.341,AMR
21020,2008-12-31,2008-12-31,2009-02-28,,AMR
21020,2008-12-31,2008-12-31,2009-03-31,,AMR
21020,2008-12-31,2008-12-31,2009-04-30,,AMR
21020,2008-12-31,2009-03-31,2009-05-31,,AMR
21020,2008-12-31,2009-03-31,2009-06-30,,AMR
21020,2008-12-31,2009-03-31,2009-07-31,,AMR
21020,2008-12-31,2009-06-30,2009-08-31,,AMR
21020,2008-12-31,2009-06-30,2009-09-30,,AMR
21020,2008-12-31,2009-06-30,2009-10-31,,AMR
21020,2008-12-31,2009-09-30,2009-11-30,,AMR
21020,2008-12-31,2009-09-30,2009-12-31,,AMR
21020,2008-12-31,2009-09-30,2010-01-31,,AMR
21020,2009-12-31,2009-12-31,2010-02-28,,AMR
21020,2009-12-31,2009-12-31,2010-03-31,,AMR
21020,2009-12-31,2009-12-31,2010-04-30,,AMR
21020,2009-12-31,2010-03-31,2010-05-31,,AMR
21020,2009-12-31,2010-03-31,2010-06-30,,AMR
21020,2009-12-31,2010-03-31,2010-07-31,,AMR
21020,2009-12-31,2010-06-30,2010-08-31,,AMR
21020,2009-12-31,2010-06-30,2010-09-30,,AMR
21020,2009-12-31,2010-06-30,2010-10-31,,AMR
21020,2009-12-31,2010-09-30,2010-11-30,,AMR
21020,2009-12-31,2010-09-30,2010-12-31,,AMR
21020,2009-12-31,2010-09-30,2011-01-31,,AMR
21020,2010-12-31,2010-12-31,2011-02-28,,AMR
21020,2010-12-31,2010-12-31,2011-03-31,,AMR
21020,2010-12-31,2010-12-31,2011-04-30,,AMR
21020,2010-12-31,2011-03-31,2011-05-31,,AMR
21020,2010-12-31,2011-03-31,2011-06-30,,AMR
21020,2010-12-31,2011-03-31,2011-07-31,,AMR
21020,2010-12-31,2011-06-30,2011-08-31,,AMR
21020,2010-12-31,2011-06-30,2011-09-30,,AMR
21020,2010-12-31,2011-06-30,2011-10-31,,AMR
21020,2010-12-31,2011-09-30,2011-11-30,,AMR
21020,2010-12-31,2011-09-30,2011-12-31,,AMR
21020,2010-12-31,2011-09-30,2012-01-31,,AMR
21020,2011-12-31,2011-12-31,2012-02-29,,AMR
21020,2013-12-31,2013-12-31,2014-02-28,,AAL
21020,2013-12-31,2013-12-31,2014-03-31,,AAL
21020,2013-12-31,2013-12-31,2014-04-30,,AAL
21020,2013-12-31,2014-03-31,2014-05-31,0.046,AAL
21020,2013-12-31,2014-03-31,2014-06-30,0.046,AAL
21020,2013-12-31,2014-03-31,2014-07-31,0.046,AAL
21020,2013-12-31,2014-06-30,2014-08-31,0.132,AAL
21020,2013-12-31,2014-06-30,2014-09-30,0.132,AAL
21020,2013-12-31,2014-06-30,2014-10-31,0.132,AAL
21020,2013-12-31,2014-09-30,2014-11-30,0.195,AAL
21020,2013-12-31,2014-09-30,2014-12-31,0.195,AAL
21020,2013-12-31,2014-09-30,2015-01-31,0.195,AAL
